Brand,Range,Fast Charging L3,Mileage,Performance,Seats,Exterior color,Interior color,Charging type,Battery warranty,VIN,Year,Battery size,URL,Title,Price
Tesla,272 mi,30 minutes,755 mi,271 HP,Up to 5,White,Black,NACS (J3400) DC fast charge connector,96 month/100000 miles,5YJ3E1EA9RF745964,2024,60 kWh,https://ev.com/vehicle/b8qsxi,2024TeslaModel 3Rear-Wheel Drive,"$23,738"
Tesla,272 mi,25 minutes,"1,826 mi",271 HP,Up to 5,White,White/Black,NACS (J3400) DC fast charge connector,96 month/100000 miles,5YJ3E1EA1MF092149,2021,50 kWh,https://ev.com/vehicle/u9mjgm,2021TeslaModel 3Standard Range Plus Rear-Wheel Drive,"$17,890"
Tesla,337 mi,25 minutes,"4,982 mi",295 HP,Up to 5,White,Black,NACS (J3400) DC fast charge connector,96 month/120000 miles,7SAYGDEDXRF132766,2024,60 kWh,https://ev.com/vehicle/j890ui,2024TeslaModel YLong Range Dual Motor All-Wheel Drive,"$25,136"
Tesla,311 mi,30 minutes,"2,670 mi",425 HP,Up to 5,Blue,Black,NACS (J3400) DC fast charge connector,96 month/120000 miles,7SAYGAEEXSF295463,2025,81 kWh,https://ev.com/vehicle/du1n4u,2025TeslaModel YLong Range Dual Motor All-Wheel Drive,"$29,165"
Tesla,260 mi,25 minutes,"1,666 mi",295 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,96 month/120000 miles,7SAYGDED4PF971972,2023,60 kWh,https://ev.com/vehicle/rav6ns,2023TeslaModel YRWD,"$20,228"
Tesla,325 mi,Coming Soon,"3,611 mi",600 HP,Up to 5,Silver,Black,NACS (J3400) DC fast charge connector,96 month/150000 miles,7G2CEHED0RA037597,2024,123 kWh,https://ev.com/vehicle/2r0432,2024TeslaCybertruckAll-Wheel Drive,"$64,993"
Tesla,310 mi,27 minutes,"20,916 mi",271 HP,Up to 5,N/A,N/A,NACS (J3400) DC fast charge connector,96 month/120000 miles,5YJ3E1EA9JF017677,2018,75 kWh,https://ev.com/vehicle/jqq6rt,2018TeslaModel 3Long Range,"$9,231"
Tesla,396 mi,30 minutes,"3,559 mi",1020 HP,Up to 5,Gray,Cream,NACS (J3400) DC fast charge connector,96 month/150000 miles,5YJSA1E65NF488492,2022,100 kWh,https://ev.com/vehicle/177js9,2022TeslaModel SPlaid Tri Motor All-Wheel Drive,"$48,395"
Tesla,405 mi,30 minutes,"15,736 mi",670 HP,Up to 5,Black,Black,NACS (J3400) DC fast charge connector,96 month/150000 miles,5YJSA1E55NF478293,2022,100 kWh,https://ev.com/vehicle/gib2fl,2022TeslaModel SDual Motor All-Wheel Drive,"$32,883"
Tesla,329 mi,30 minutes,"5,848 mi",670 HP,Up to 5,Silver,White,NACS (J3400) DC fast charge connector,96 month/150000 miles,7SAXCDE52RF449487,2024,100 kWh,https://ev.com/vehicle/kosxkv,2024TeslaModel XLong Range,"$59,379"
Tesla,311 mi,30 minutes,"9,923 mi",425 HP,Up to 5,Black,White/Black,NACS (J3400) DC fast charge connector,96 month/120000 miles,7SAYGDEE0RA234986,2024,81 kWh,https://ev.com/vehicle/y9tyil,2024TeslaModel YLong Range Dual Motor All-Wheel Drive,"$26,173"
Tesla,325 mi,Coming Soon,"8,273 mi",600 HP,Up to 5,Blue,Tactical Grey,NACS (J3400) DC fast charge connector,96 month/150000 miles,7G2CEHED5RA034520,2024,123 kWh,https://ev.com/vehicle/h2qp1t,2024TeslaCybertruckAll-Wheel Drive,"$65,185"
Tesla,325 mi,Coming Soon,"7,379 mi",600 HP,Up to 5,N/A,Black,NACS (J3400) DC fast charge connector,96 month/150000 miles,7G2CEHED7RA049603,2024,123 kWh,https://ev.com/vehicle/xetl24,2024TeslaCybertruckAll-Wheel Drive,"$62,940"
Tesla,272 mi,30 minutes,"15,410 mi",271 HP,Up to 5,Blue,Black,NACS (J3400) DC fast charge connector,96 month/100000 miles,5YJ3E1EA3PF475112,2023,60 kWh,https://ev.com/vehicle/a2b4ww,2023TeslaModel 3Rear-Wheel Drive,"$16,431"
Tesla,272 mi,30 minutes,"33,338 mi",271 HP,Up to 5,White,N/A,NACS (J3400) DC fast charge connector,96 month/100000 miles,5YJ3E1EA3PF451327,2023,60 kWh,https://ev.com/vehicle/0nb762,2023TeslaModel 3Rear-Wheel Drive,"$16,740"
Tesla,272 mi,30 minutes,"39,791 mi",271 HP,Up to 5,Silver,White/Black,NACS (J3400) DC fast charge connector,96 month/100000 miles,5YJ3E1EA6NF102899,2022,50 kWh,https://ev.com/vehicle/7j00ca,2022TeslaModel 3Rear-Wheel Drive,"$10,540"
