Detailed Car Title,Seller Location,Phone Number,E-car Producer,First Registration,Charge Rate,Price ($),Current Mileage,Max Speed (km/h),Battery (kWh),Engine Capacity (p.h.),Car URL
Vintage Classic car Specification,"Wucheng County, Dezhou City, Shandong Province",Phone: +86 196 0214 3437,other,2025,80-100km,4 600,,35km/h,5,,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/vintage-classic-car
JMEV GSE Specification,,Phone: ‪(213) 222-6362‬,other,2026,450,23 000,10,140,63,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/jmev-gse
Yuanhang H9 Specification,"9461 Charleville Blvd PMB 27931 Beverly Hills, CA 90212",Phone: ‪(213) 222-6362‬,other,2024,10,72 000,950,210,150,697,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/yuanhang-h9
Yuanhang Y6 Specification,"9461 Charleville Blvd PMB 27931 Beverly Hills, CA 90212",Phone: ‪(213) 222-6362‬,other,2024,1020,38 000,10,205,150,707,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/yuanhang-y6
DAYUN Yuanhang H8 Specification,"9461 Charleville Blvd PMB 27931 Beverly Hills, CA 90212",Phone: ‪(213) 222-6362‬,other,2024,650,40 500,10,210,98,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/dayun-yuanhang-h8
Xiaomi SU7 MAX Specification,Horgos,Phone: ‪(213) 222-6362‬,other,2024,800,43 000,10,265,101,664,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/xiaomi-su7-max
NWONE Specification,8 23 St - Za'abeel - Za'abeel 2 - Dubai - United Arab Emirates,Phone: 00971545085646,other,2023,860,28 500,100,240,33,1500,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/voyah-free-674
Zeekr 001 AT 2023 Specification,"Ulitsa Zatsepa, 21, Moscow",Phone: +7(495) 128 06 00,ZEEKR,2023,650,74 000,45 km,200,100,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/zeekr-001-at-2023
Lixiang L7 Specification,"г. Москва, ул. Зацепа 21",Phone: +7(495) 128 06 00,other,2022,1315,99 736,,180,42.8,450,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/lixiang-l7
MiniCooper SE Specification,"г. Москва, ул. Зацепа 21",Phone: +7(495) 128 06 00,MINI,2022,215,,,150,32,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/minicooper-se
AVATR-ll Middle Specification,"г. Москва, ул. Зацепа 21",Phone: +7(495) 128 06 00,CHANGAN Auto,2022,680,84 238,,200,116,578,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/avatr-ll-middle
ORA BALLET CAT Specification,"г. Москва, ул. Зацепа 21",Phone: +7(495) 128 06 00,GWM ORA UK,2022,500,58 985,,155,60.5,171,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/ora-ballet-cat
