name,score,price,range ,url,battery_size,max_dc_charge,miles_per_kwh
Smart #5 Review,7,"£50,000",366mi,https://www.electrifying.com/reviews/smart-car-reviews/5/,74 - 94 kWh,400 kW,3.5 (est)
Jeep Compass Review,6,"£45,000",404mi,https://www.electrifying.com/reviews/jeep-reviews/compass/,73-98kWh,160 kW,4.4
Renault 4 E-Tech Electric Review,8,"£27,000",247mi,https://www.electrifying.com/reviews/renault-4/,52kWh,100 kW,4.77
Citroen e-C5 Aircross Review,7,"£40,000",422mi,https://www.electrifying.com/reviews/citroen-reviews/e-c5-aircross/,73-98kWh,160 kW,4.4
Abarth 600e Review,8,"£36,975",208mi,https://www.electrifying.com/reviews/abarth/600e/,51kWh,N/A,4.0
Range Rover Electric Review,8,"£140,000",310mi,https://www.electrifying.com/reviews/land-rover-reviews/range-rover-electric/,117 kWh,350kW,N/A
Ford Puma Gen-E Review,8,"£29,995",233mi,https://www.electrifying.com/reviews/ford-reviews/puma-gen-e/,43kWh,100 kW,5.0
New 2025 Tesla Model Y Review,9,"£44,990",387mi,https://www.electrifying.com/reviews/tesla-reviews/model-y-2025/,75kWh,250 kW,4.6
Ford e-Transit Courier Review,8,"£34,490",186mi,https://www.electrifying.com/reviews/ford-reviews/e-transit-courier/,43 kWh,100 kW,N/A
Kia PV5 Review,9,"£30,000",250mi,https://www.electrifying.com/reviews/kia-reviews/pv5/,43 - 71 kWh,150kW (est),N/A
Skoda Enyaq 2025 Review,9,"£39,000",365mi,https://www.electrifying.com/reviews/skoda-reviews/new-enyaq/,59 - 77 kWh,175 kW,4.6
MGS5 EV Review,8,"£28,495",298mi,https://www.electrifying.com/reviews/mg-reviews/mgs5-ev/,49 - 64 kWh,139 kW,4.5
Volvo ES90 Review,9,"£70,000",437mi,https://www.electrifying.com/reviews/volvo-reviews/es90/,88 - 102 kWh,350 kW,4.4
Maserati Grecale Folgore Review,7,"£99,165",310mi,https://www.electrifying.com/reviews/maserati/grecale-folgore/,Battery sizes: 97 kWh,150kW,N/A
Mercedes CLA Review,9,"£45,000",465mi,https://www.electrifying.com/reviews/mercedes-reviews/cla/,Battery sizes: 58 - 85 kWh,320kW,N/A
New Kia EV4 review,8,"£32,000",391mi,https://www.electrifying.com/reviews/kia-reviews/ev4/,Battery sizes: 58kWh - 81.4kWh,102 - 135kW,N/A
Citroen e-Relay Review,7,"£49,485",261mi,https://www.electrifying.com/reviews/citroen-reviews/e-relay/,110 kWh,150 kW,N/A
Mercedes-Benz eVito Review,7,"£48,530",162mi,https://www.electrifying.com/reviews/mercedes-reviews/evito/,66kWh,80kW,N/A
Volkswagen Transporter Review,8,"£42,800",201mi,https://www.electrifying.com/reviews/volkswagen-reviews/transporter/,65 kWh,125kW,N/A
BYD Atto 2 Review,8,"£30,000",260mi,https://www.electrifying.com/reviews/byd/atto-2//,50 kWh,65 kW,N/A
Zeekr 7X Review,8,"£44,090",382mi,https://www.electrifying.com/reviews/zeekr/7x/,75 - 100 kWh,360 kW,N/A
Mercedes-Benz eSprinter Review,8,"£58,740",271mi,https://www.electrifying.com/reviews/mercedes-reviews/esprinter-1/,81-113 kWh,115kW,N/A
Kia EV3 Review,10,"£32,995",375mi,https://www.electrifying.com/reviews/kia-reviews/ev3/,55 - 78 kWh,N/A,N/A
Mazda 6e Review,7,"£42,000",345mi,https://www.electrifying.com/reviews/mazda-reviews/6e/,69 - 80kWh,200kW,4.5
DS No 8 Review,8,"£60,000",469mi,https://www.electrifying.com/reviews/ds-reviews/no-8/,73 - 98kWh,160kW,3.9
Skoda Elroq Review,9,"£31,500",360mi,https://www.electrifying.com/reviews/skoda-reviews/elroq/,52 / 59 / 77kWh,175 kW,3.8. - 4.1
Audi S e-tron GT Review 2025,9,"£108,680",356mi,https://www.electrifying.com/reviews/audi/e-tron-gt/,97kWh,320 kW,N/A
Hyundai IONIQ 9 Review,8,"£65,000",385mi,https://www.electrifying.com/reviews/hyundai-reviews/ioniq-9/,110.3kWh,210 kW,3.5 (est)
BYD Sealion 7 Review,7,"£46,990",312mi,https://www.electrifying.com/reviews/byd/sealion-7/,83-91kWh,150 - 230 kW,N/A
Alpine A290 Review,9,"£33,500",236mi,https://www.electrifying.com/reviews/alpine/a290/,52kWh,100kW,N/A
Suzuki e Vitara Review,6,"£29,000",249mi,https://www.electrifying.com/reviews/suzuki/e-vitara/,49-61 kWh,150 kW,N/A
MINI Aceman Review,8,"£31,800",252mi,https://www.electrifying.com/reviews/mini-reviews/aceman/,N/A,95 kW,4.4
Citroen e-Dispatch Review,8,"£41,210",217mi,https://www.electrifying.com/reviews/citroen-reviews/e-dispatch/,75 kWh,100 kW,N/A
Citroen e-C4 Review 2025,8,"£26,295",261mi,https://www.electrifying.com/reviews/citroen-reviews/citroen-e-c4/,50-54kWh,100 kW,4.82 - 5.22
Vauxhall Grandland Review,6,"£37,435",325mi,https://www.electrifying.com/reviews/vauxhall/grandland/,73- 98 kWh,N/A,N/A
Leapmotor C10 Review,6,"£36,500",261mi,https://www.electrifying.com/reviews/leapmotor/c10/,69.9 kWh,84kW,N/A
